x,alpha,beta,y
1.764334781,1.365654903,1.525237058,0.244443847
1.906954441,1.168530193,1.471710429,0.209536005
2.319992819,2.014348187,2.021043644,0.17947215
2.162744341,2.804861724,2.875419312,0.058238781
1.339231576,1.495281721,2.740032536,0.177222397
2.851379103,2.433231648,1.442299189,0.200848171
1.814265172,2.746132163,2.101933874,0.096806579
2.086756391,1.817033869,1.265314901,0.244230303
2.413204977,2.910944324,2.877398714,0.058174432
1.702451951,1.352322477,2.067253494,0.222538436
2.122210102,2.95192672,2.708198706,0.054744249
2.177651009,1.754147664,2.140181501,0.186012564
2.572385544,1.814662629,1.311405039,0.19850207
2.395024384,1.672704623,2.301533132,0.174434051
2.013305147,1.548051337,1.674545705,0.223374428
2.595838568,2.715636283,2.69933839,0.0846632
2.456384786,2.056712527,2.010045768,0.176698927
2.417274028,2.025230938,1.792667133,0.194656103
1.418502116,2.782173704,2.615559635,0.045226692
1.726381564,2.535328172,2.933060295,0.061530558
2.70939836,1.624131105,2.032063269,0.173162155
2.660754052,2.245983279,1.584080365,0.198673916
2.457709348,1.912389444,2.018879145,0.181603113
2.762213985,2.732060856,1.851136925,0.153302925
1.350421126,1.584014292,1.875877712,0.240169596
1.91019942,1.091932286,1.122404008,0.17869684
2.187628716,1.778794989,1.598145983,0.21954098
1.969740654,1.284065638,2.192873502,0.200165963
2.975940413,1.285474834,1.641995976,0.130948565
1.069826177,1.056732466,1.73781729,0.311736367
2.417228184,1.143298736,2.852128781,0.156861926
1.638738825,2.190782751,1.770390523,0.186223512
1.53617132,1.724845767,2.825703323,0.144599989
2.816273559,2.807294643,2.877878591,0.074452015
2.257331423,2.829286528,2.316500005,0.090414668
1.2568337,2.024852713,1.050288091,0.342174933
2.250675641,2.600333686,2.059320587,0.131235288
2.708856082,2.015106773,1.329339928,0.200630487
1.856063021,1.418404329,1.97474202,0.217468332
2.270890929,2.429554691,2.871661262,0.089134704
1.714096829,1.433088126,2.453051483,0.195881754
2.554245293,1.389783777,1.809790225,0.173543106
2.122198369,1.975293136,2.791343049,0.12952873
1.106617533,1.720103929,1.013024269,0.386648033
2.423202011,2.662900451,2.084655927,0.128435386
1.519739671,2.087275839,1.317567253,0.268922659
2.464551992,2.869860102,2.528720953,0.079909683
1.07568421,1.255342716,1.735855901,0.303034552
1.355107419,1.576897142,1.057405823,0.339942588
1.79683127,1.276702055,1.735216257,0.229222276
1.592487921,1.758130423,2.012729915,0.204766291
1.756526051,1.641146041,2.508560943,0.175218571
1.763012911,2.27422831,2.191977983,0.134591018
2.849268174,1.99178719,1.765733898,0.181918725
2.591905995,2.970820728,2.936902644,0.056554336
1.352682846,1.776060892,1.418535323,0.28297461
2.424852811,1.285305516,1.595899484,0.171710355
2.274378458,2.447836874,1.837198723,0.167660112
2.277368478,2.665223166,1.315200555,0.223423289
1.427709531,1.738516926,1.99552663,0.208784403
1.561453064,2.293159269,2.639241953,0.091541267
1.8527461,1.891329653,2.868096994,0.129111401
1.003946053,2.839244238,2.340567764,0.033837636
2.176463012,1.077278057,1.26866548,0.153825148
1.853280715,1.213075375,2.661627886,0.189509258
1.538167685,1.519888196,2.316441661,0.202494107
1.137897287,1.352644072,2.148803723,0.245831671
2.456467983,1.389086306,2.653350595,0.163206657
2.380745933,1.856041782,2.545943799,0.153650571
1.032672079,1.625100338,2.687927598,0.155395148
1.953720076,2.141349864,2.120843023,0.159978716
1.589676194,2.247483823,1.325573428,0.252116181
1.084353785,2.028889308,2.836327956,0.088336263
2.392896598,2.692484931,2.244738772,0.111329523
1.659163802,2.464343175,2.890140767,0.06666972
2.955148807,2.760485962,2.852234454,0.081625983
1.748501211,2.578880603,1.930430093,0.127270733
1.409160398,2.549573403,2.342588018,0.077264205
2.819745062,2.023515695,2.4994165,0.145015702
1.627686211,2.782652385,1.793496078,0.114539854
2.627891191,1.356441067,2.000908037,0.166320427
1.597574415,2.266107043,2.953451576,0.079177294
2.833572983,1.736984856,1.503621357,0.175903617
1.858967878,2.584236199,2.725675413,0.071600944
1.17819619,1.478837461,2.393678505,0.205333172
2.949920999,2.753656337,1.784603993,0.160568284
2.54234997,2.35453857,1.723749495,0.18623331
2.703119996,1.916560835,2.882810326,0.13233333
2.181717273,2.354881835,1.309565498,0.238817313
1.732511056,2.686112447,2.068218362,0.101590445
2.115652282,2.930655488,2.480361928,0.067304042
1.148083217,2.75705067,1.951851036,0.069223205
1.511550559,2.550654071,2.436478007,0.076369557
1.555936875,2.288963139,2.985685947,0.074077345
1.375438616,2.633908547,2.658994175,0.052057619
1.937450475,1.33149465,1.951589035,0.212064974
1.466337194,1.215487248,1.264691603,0.280076546
1.641125455,1.422117191,2.597728656,0.190228474
2.286578486,2.209823936,2.512557006,0.129031003
1.709809774,2.260266419,1.814585939,0.174845975
2.490629776,1.581620543,1.33516316,0.186920278
1.282735467,2.494006257,2.779688214,0.053951817
2.150859423,2.959621452,1.719542558,0.133919088
1.986646618,2.718976221,2.489500412,0.078240146
1.345866221,2.232670275,1.00516833,0.333091034
2.953305368,2.456807605,1.90137173,0.163802553
2.622570216,2.291701008,1.516196415,0.204466895
1.481202182,1.496552254,2.188548736,0.215891558
1.7439657,2.280623049,1.732561385,0.184437235
1.24195959,2.742136015,1.553329104,0.122644049
2.529873074,1.041618074,1.675574603,0.137210798
1.793490799,2.227015512,2.900771224,0.092081439
1.932416209,1.899273147,2.451625898,0.15571374
1.718800411,1.256358065,1.141639631,0.238488508
1.256219751,2.085465533,1.939513017,0.162020319
1.70326525,1.069255282,2.868210399,0.192537384
2.629344157,1.563607636,2.670328291,0.155833678
1.097750814,1.300914447,1.893807699,0.279707842
2.65062899,1.059372133,2.156487849,0.141717282
2.582948829,2.052344066,1.180530602,0.211617961
1.043699444,2.931308503,1.35393862,0.110008753
2.710029753,1.168533036,1.231557753,0.110780224
1.952280332,2.259339969,2.388103069,0.125933153
2.393457677,1.698920363,1.267639331,0.204942815
2.778835635,1.009824618,1.302604731,0.09212382
1.97401633,2.541482954,2.002714502,0.133094807
2.953601563,1.285606,2.0887743,0.142837989
2.151791939,1.736979525,1.354781929,0.231446897
