t,x
1,832.0746149
101,832.7000646
201,833.3177706
301,833.9278443
401,834.5303952
501,835.125531
601,835.7133572
701,836.2939777
801,836.8674945
901,837.4340077
1001,837.9936159
1101,838.5464158
1201,839.0925023
1301,839.631969
1401,840.1649075
1501,840.6914081
1601,841.2115594
1701,841.7254485
1801,842.2331609
1901,842.7347809
2001,843.230391
2101,843.7200725
2201,844.2039054
2301,844.6819681
2401,845.1543378
2501,845.6210903
2601,846.0823003
2701,846.5380409
2801,846.9883844
2901,847.4334016
3001,847.873162
3101,848.3077343
3201,848.7371856
3301,849.1615824
3401,849.5809896
3501,849.9954712
3601,850.4050903
3701,850.8099086
3801,851.2099872
3901,851.6053858
4001,851.9961633
4101,852.3823777
4201,852.7640858
4301,853.1413437
4401,853.5142065
4501,853.8827283
4601,854.2469625
4701,854.6069614
4801,854.9627767
4901,855.314459
5001,855.6620583
5101,856.0056237
5201,856.3452034
5301,856.680845
5401,857.0125952
5501,857.3405
5601,857.6646047
5701,857.9849537
5801,858.3015909
5901,858.6145593
6001,858.9239014
6101,859.229659
6201,859.531873
6301,859.8305838
6401,860.1258313
6501,860.4176545
6601,860.706092
6701,860.9911817
6801,861.2729607
6901,861.551466
7001,861.8267334
7101,862.0987987
7201,862.3676967
7301,862.6334619
7401,862.8961283
7501,863.1557291
7601,863.4122971
7701,863.6658647
7801,863.9164637
7901,864.1641254
8001,864.4088806
8101,864.6507595
8201,864.8897922
8301,865.1260078
8401,865.3594355
8501,865.5901035
8601,865.81804
8701,866.0432726
8801,866.2658283
8901,866.4857339
9001,866.7030157
9101,866.9176996
9201,867.1298111
9301,867.3393753
9401,867.5464168
9501,867.75096
9601,867.9530289
9701,868.1526469
9801,868.3498373
9901,868.5446229
10001,868.7370261
10101,868.9270691
10201,869.1147736
10301,869.300161
10401,869.4832525
10501,869.6640688
10601,869.8426302
10701,870.018957
10801,870.193069
10901,870.3649855
11001,870.5347257
11101,870.7023086
11201,870.8677526
11301,871.0310761
11401,871.192297
11501,871.3514331
11601,871.5085016
11701,871.6635199
11801,871.8165046
11901,871.9674724
12001,872.1164397
12101,872.2634224
12201,872.4084364
12301,872.5514972
12401,872.69262
12501,872.83182
12601,872.9691119
12701,873.1045102
12801,873.2380293
12901,873.3696832
13001,873.4994858
13101,873.6274506
13201,873.753591
13301,873.8779203
13401,874.0004513
13501,874.1211967
13601,874.240169
13701,874.3573805
13801,874.4728433
13901,874.5865693
14001,874.69857
14101,874.808857
14201,874.9174414
14301,875.0243344
14401,875.1295468
14501,875.2330892
14601,875.3349722
14701,875.435206
14801,875.5338007
14901,875.6307661
15001,875.7261121
15101,875.8198482
15201,875.9119837
15301,876.0025278
15401,876.0914895
15501,876.1788777
15601,876.2647009
15701,876.3489678
15801,876.4316866
15901,876.5128655
16001,876.5925125
16101,876.6706353
16201,876.7472417
16301,876.8223392
16401,876.8959352
16501,876.9680367
16601,877.0386508
16701,877.1077845
16801,877.1754444
16901,877.2416371
17001,877.3063691
17101,877.3696465
17201,877.4314756
17301,877.4918623
17401,877.5508124
17501,877.6083316
17601,877.6644255
17701,877.7190994
17801,877.7723587
17901,877.8242084
18001,877.8746536
18101,877.923699
18201,877.9713494
18301,878.0176093
18401,878.0624831
18501,878.1059753
18601,878.1480898
18701,878.1888308
18801,878.2282022
18901,878.2662077
19001,878.3028509
19101,878.3381354
19201,878.3720646
19301,878.4046416
19401,878.4358696
19501,878.4657516
19601,878.4942905
19701,878.521489
19801,878.5473497
19901,878.5718751
20001,878.5950675
20101,878.6169293
20201,878.6374625
20301,878.656669
20401,878.6745509
20501,878.6911098
20601,878.7063473
20701,878.7202649
20801,878.7328641
20901,878.7441461
21001,878.754112
21101,878.7627628
21201,878.7700994
21301,878.7761227
21401,878.7808332
21501,878.7842315
21601,878.786318
21701,878.787093
21801,878.7865567
21901,878.7847091
22001,878.7815502
22101,878.7770797
22201,878.7712974
22301,878.7642029
22401,878.7557956
22501,878.7460748
22601,878.7350397
22701,878.7226895
22801,878.7090232
22901,878.6940395
23001,878.6777372
23101,878.6601149
23201,878.6411712
23301,878.6209043
23401,878.5993126
23501,878.5763941
23601,878.5521469
23701,878.5265689
23801,878.4996577
23901,878.4714111
24001,878.4418266
24101,878.4109015
24201,878.3786331
24301,878.3450186
24401,878.3100549
24501,878.273739
24601,878.2360676
24701,878.1970374
24801,878.1566448
24901,878.1148862
25001,878.0717579
25101,878.027256
25201,877.9813765
25301,877.9341153
25401,877.885468
25501,877.8354303
25601,877.7839976
25701,877.7311653
25801,877.6769285
25901,877.6212823
26001,877.5642217
26101,877.5057414
26201,877.445836
26301,877.3845
26401,877.3217279
26501,877.2575138
26601,877.1918518
26701,877.1247359
26801,877.0561598
26901,876.9861172
27001,876.9146016
27101,876.8416063
27201,876.7671246
27301,876.6911494
27401,876.6136737
27501,876.5346903
27601,876.4541917
27701,876.3721703
27801,876.2886184
27901,876.2035282
28001,876.1168916
28101,876.0287004
28201,875.9389462
28301,875.8476206
28401,875.7547147
28501,875.6602197
28601,875.5641267
28701,875.4664263
28801,875.3671093
28901,875.266166
29001,875.1635867
29101,875.0593615
29201,874.9534803
29301,874.8459329
29401,874.7367087
29501,874.6257972
29601,874.5131875
29701,874.3988685
29801,874.2828291
29901,874.1650578
30001,874.045543
30101,873.924273
30201,873.8012356
30301,873.6764188
30401,873.54981
30501,873.4213967
30601,873.2911659
30701,873.1591047
30801,873.0251998
30901,872.8894376
31001,872.7518045
31101,872.6122865
31201,872.4708695
31301,872.327539
31401,872.1822805
31501,872.035079
31601,871.8859195
31701,871.7347866
31801,871.5816647
31901,871.426538
32001,871.2693904
32101,871.1102056
32201,870.9489669
32301,870.7856574
32401,870.6202601
32501,870.4527576
32601,870.2831321
32701,870.1113657
32801,869.9374403
32901,869.7613372
33001,869.5830377
33101,869.4025227
33201,869.2197728
33301,869.0347683
33401,868.8474892
33501,868.6579153
33601,868.466026
33701,868.2718002
33801,868.0752168
33901,867.8762542
34001,867.6748905
34101,867.4711034
34201,867.2648704
34301,867.0561686
34401,866.8449746
34501,866.6312649
34601,866.4150155
34701,866.196202
34801,865.9747997
34901,865.7507836
35001,865.524128
35101,865.2948073
35201,865.0627951
35301,864.8280647
35401,864.5905892
35501,864.3503409
35601,864.1072922
35701,863.8614146
35801,863.6126793
35901,863.3610574
36001,863.106519
36101,862.8490342
36201,862.5885725
36301,862.3251028
36401,862.0585937
36501,861.7890132
36601,861.516329
36701,861.2405082
36801,860.9615174
36901,860.6793225
37001,860.3938893
37101,860.1051828
37201,859.8131674
37301,859.5178072
37401,859.2190656
37501,858.9169055
37601,858.6112891
37701,858.3021783
37801,857.9895342
37901,857.6733173
38001,857.3534876
38101,857.0300045
38201,856.7028266
38301,856.3719122
38401,856.0372186
38501,855.6987026
38601,855.3563205
38701,855.0100277
38801,854.6597789
38901,854.3055283
39001,853.9472294
39101,853.5848346
39201,853.2182962
39301,852.8475651
39401,852.472592
39501,852.0933265
39601,851.7097176
39701,851.3217134
39801,850.9292612
39901,850.5323077
