x,y
0.1,0.099833417
0.2,0.198669331
0.3,0.295520207
0.4,0.389418342
0.5,0.479425539
0.6,0.564642473
0.7,0.644217687
0.8,0.717356091
0.9,0.78332691
1,0.841470985
1.1,0.89120736
1.2,0.932039086
1.3,0.963558185
1.4,0.98544973
1.5,0.997494987
1.6,0.999573603
1.7,0.99166481
1.8,0.973847631
1.9,0.946300088
2,0.909297427
2.1,0.863209367
2.2,0.808496404
2.3,0.745705212
2.4,0.675463181
2.5,0.598472144
2.6,0.515501372
2.7,0.42737988
2.8,0.33498815
2.9,0.239249329
3,0.141120008
3.1,0.041580662
3.2,-0.058374143
3.3,-0.157745694
3.4,-0.255541102
3.5,-0.350783228
3.6,-0.442520443
3.7,-0.529836141
3.8,-0.611857891
3.9,-0.687766159
4,-0.756802495
4.1,-0.818277111
4.2,-0.871575772
4.3,-0.916165937
4.4,-0.951602074
4.5,-0.977530118
4.6,-0.993691004
4.7,-0.999923258
4.8,-0.996164609
4.9,-0.982452613
5,-0.958924275
5.1,-0.925814682
5.2,-0.883454656
5.3,-0.832267442
5.4,-0.772764488
5.5,-0.705540326
5.6,-0.631266638
5.7,-0.550685543
5.8,-0.464602179
5.9,-0.373876665
6,-0.279415498
6.1,-0.182162504
6.2,-0.083089403
6.3,0.0168139
6.4,0.116549205
6.5,0.215119988
6.6,0.311541364
6.7,0.404849921
6.8,0.494113351
6.9,0.578439764
7,0.656986599
7.1,0.72896904
7.2,0.793667864
7.3,0.850436621
7.4,0.898708096
7.5,0.937999977
7.6,0.967919672
7.7,0.988168234
7.8,0.998543345
7.9,0.998941342
8,0.989358247
8.1,0.969889811
8.2,0.940730557
8.3,0.902171834
8.4,0.854598908
8.5,0.798487113
8.6,0.734397098
8.7,0.66296923
8.8,0.584917193
8.9,0.501020856
9,0.412118485
9.1,0.319098362
9.2,0.222889914
9.3,0.124454424
9.4,0.024775425
9.5,-0.07515112
9.6,-0.174326781
9.7,-0.271760626
9.8,-0.366479129
9.9,-0.457535894
10,-0.544021111
10.1,-0.625070649
10.2,-0.699874688
10.3,-0.76768581
10.4,-0.827826469
10.5,-0.87969576
10.6,-0.922775422
10.7,-0.956635016
10.8,-0.98093623
10.9,-0.995436253
11,-0.999990207
11.1,-0.994552588
11.2,-0.979177729
11.3,-0.95401925
11.4,-0.919328526
11.5,-0.875452175
11.6,-0.822828595
11.7,-0.761983584
11.8,-0.693525085
11.9,-0.618137112
12,-0.536572918
12.1,-0.449647465
12.2,-0.358229282
12.3,-0.263231791
12.4,-0.165604175
12.5,-0.066321897
12.6,0.033623047
12.7,0.133232041
12.8,0.231509825
12.9,0.327474439
13,0.420167037
13.1,0.508661464
13.2,0.592073515
13.3,0.669569762
13.4,0.74037589
13.5,0.803784427
13.6,0.859161815
13.7,0.905954742
13.8,0.943695669
13.9,0.972007501
14,0.990607356
14.1,0.999309389
14.2,0.998026653
14.3,0.986771964
14.4,0.965657777
14.5,0.934895056
14.6,0.894791172
14.7,0.845746831
14.8,0.788252067
14.9,0.72288135
15,0.65028784
15.1,0.57119687
15.2,0.486398689
15.3,0.396740573
15.4,0.303118357
15.5,0.206467482
15.6,0.107753652
15.7,0.007963184
15.8,-0.09190685
15.9,-0.190858581
16,-0.287903317
16.1,-0.382071417
16.2,-0.472421986
16.3,-0.558052271
16.4,-0.638106682
16.5,-0.711785342
16.6,-0.778352079
16.7,-0.837141778
16.8,-0.887567034
16.9,-0.929124013
17,-0.961397492
17.1,-0.984065005
17.2,-0.996900066
17.3,-0.999774431
17.4,-0.99265938
17.5,-0.975626005
17.6,-0.948844498
17.7,-0.91258245
17.8,-0.867202179
17.9,-0.813157112
18,-0.750987247
18.1,-0.681313766
18.2,-0.604832822
18.3,-0.52230859
18.4,-0.434565622
18.5,-0.342480618
18.6,-0.246973662
18.7,-0.148999026
18.8,-0.049535641
18.9,0.050422688
19,0.14987721
19.1,0.247834208
19.2,0.343314929
19.3,0.43536536
19.4,0.523065765
19.5,0.60553987
19.6,0.68196362
19.7,0.751573415
19.8,0.813673738
19.9,0.867644101
20,0.912945251
20.1,0.949124554
20.2,0.975820518
20.3,0.992766406
20.4,0.9997929
20.5,0.996829794
20.6,0.983906695
20.7,0.961152725
20.8,0.928795234
20.9,0.887157529
21,0.836655639
21.1,0.777794162
21.2,0.711161223
21.3,0.637422596
21.4,0.557315054
21.5,0.471639003
21.6,0.381250492
21.7,0.287052651
21.8,0.189986676
21.9,0.091022416
22,-0.008851309
22.1,-0.108636595
22.2,-0.207336421
22.3,-0.303964609
22.4,-0.397555683
22.5,-0.487174512
22.6,-0.571925655
22.7,-0.650962306
22.8,-0.723494756
